('Total Revenue', '318,273,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         1158513 function calls (1124402 primitive calls) in 3.667 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1992    0.000    0.000    0.000    0.000 _exceptions.py:7(map_exceptions)
     1812    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
     1795    0.003    0.000    0.005    0.000 typing.py:1368(__setattr__)
     1765    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
     1765    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
     1655    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
     1641    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
     1585    0.000    0.000    0.000    0.000 _connection.py:224(their_state)
     1538    0.002    0.000    0.003    0.000 {built-in method builtins.setattr}
     1445    0.001    0.000    0.005    0.000 filter.py:629(_match_attribute_value_helper)
     1381    0.001    0.000    0.060    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
     1381    0.058    0.000    0.058    0.000 {built-in method nt.stat}
 1316/941    0.001    0.000    0.001    0.000 {built-in method builtins.hash}
     1218    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
     1176    0.000    0.000    0.001    0.000 typing.py:1437(__eq__)
 1163/207    0.011    0.000    0.114    0.001 _parser.py:451(_parse_sub)
1149/1143    0.030    0.000    0.119    0.000 {built-in method builtins.__build_class__}
     1109    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
     1087    0.001    0.000    0.003    0.000 _parser.py:311(_class_escape)
     1071    0.001    0.000    0.001    0.000 enum.py:1589(_get_value)
     1053    0.001    0.000    0.002    0.000 _parser.py:171(__setitem__)
     1015    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1222(__enter__)
     1015    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1226(__exit__)
     1004    0.001    0.000    0.002    0.000 contextlib.py:136(__enter__)
     1004    0.002    0.000    0.002    0.000 contextlib.py:108(__init__)
     1004    0.001    0.000    0.003    0.000 contextlib.py:303(helper)
     1003    0.001    0.000    0.002    0.000 contextlib.py:145(__exit__)
      943    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      936    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      928    0.001    0.000    0.001    0.000 {built-in method from_bytes}
      920    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
      906    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
      892    0.001    0.000    0.001    0.000 {built-in method fromkeys}
      887    0.000    0.000    0.001    0.000 element.py:2355(get)
      824    0.000    0.000    0.000    0.000 typing.py:1427(<genexpr>)
      810    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      806    0.000    0.000    0.000    0.000 _parser.py:82(groups)
      800    0.002    0.000    0.008    0.000 filter.py:618(_attribute_match)
      800    0.000    0.000    0.001    0.000 filter.py:321(matches_tag)
      792    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      787    0.001    0.000    0.002    0.000 _parser.py:448(_uniq)
      778    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:645(parent)
      761    0.001    0.000    0.001    0.000 _parser.py:371(_escape)
      733    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1500(_path_importer_cache)
      728    0.001    0.000    0.002    0.000 _compiler.py:401(_simple)
      721    0.001    0.000    0.002    0.000 _compiler.py:214(_compile_charset)
      721    0.009    0.000    0.014    0.000 _compiler.py:241(_optimize_charset)
   717/12    0.001    0.000    1.024    0.085 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      699    0.000    0.000    0.000    0.000 ssl.py:1117(_checkClosed)
      698    0.000    0.000    0.000    0.000 _receivebuffer.py:60(__len__)
      667    0.001    0.000    0.001    0.000 {method 'extend' of 'list' objects}
      654    0.021    0.000    0.124    0.000 <frozen importlib._bootstrap_external>:1624(find_spec)
      654    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
      643    0.002    0.000    0.016    0.000 _connection.py:438(next_event)
      643    0.001    0.000    0.009    0.000 _connection.py:410(_extract_next_receive_event)
      628    0.001    0.000    0.001    0.000 _receivebuffer.py:77(maybe_extract_at_most)
      613    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap>:632(cached)
  610/609    0.002    0.000    0.004    0.000 _readers.py:156(__call__)
      604    0.004    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
      604    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
      585    0.000    0.000    0.000    0.000 _decoders.py:237(decode)
      565    0.000    0.000    0.002    0.000 typing.py:164(_type_convert)
      557    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
  539/332    0.000    0.000    0.001    0.000 typing.py:1443(__hash__)
      503    0.002    0.000    0.006    0.000 typing.py:173(_type_check)
      496    0.004    0.000    0.005    0.000 css_types.py:41(__init__)
      491    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
      488    0.001    0.000    0.001    0.000 enum.py:829(__setattr__)
      484    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
      466    0.001    0.000    0.001    0.000 typing.py:1358(__getattr__)
      457    0.000    0.000    0.001    0.000 enum.py:47(_is_dunder)
      454    0.000    0.000    0.000    0.000 typing.py:1765(__eq__)
      420    0.001    0.000    0.001    0.000 _parser.py:264(getwhile)
      417    0.000    0.000    0.000    0.000 typing.py:1096(__eq__)
      417    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      415    0.000    0.000    0.001    0.000 enum.py:78(_is_private)
      415    0.000    0.000    0.000    0.000 enum.py:58(_is_sunder)
      414    0.000    0.000    0.000    0.000 _compiler.py:573(isstring)
      398    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      397    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
