('Total Revenue', '318,273,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         910532 function calls (878176 primitive calls) in 3.060 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.089    0.089    0.089    0.089 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        2    0.000    0.000    0.078    0.039 _models.py:1(<module>)
        1    0.005    0.005    0.078    0.078 dammit.py:128(_populate_class_variables)
     2284    0.011    0.000    0.078    0.000 parser.py:447(parse_endtag)
        1    0.077    0.077    0.077    0.077 {method 'connect' of '_socket.socket' objects}
      206    0.001    0.000    0.068    0.000 _compiler.py:576(_code)
        1    0.000    0.000    0.062    0.062 client.py:1(<module>)
     2662    0.013    0.000    0.060    0.000 _htmlparser.py:204(handle_endtag)
  332/320    0.001    0.000    0.059    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
     6707    0.003    0.000    0.059    0.000 parser.py:104(_unescape_attrvalue)
      302    0.008    0.000    0.056    0.000 <frozen importlib._bootstrap_external>:782(_compile_bytecode)
14698/7042    0.024    0.000    0.056    0.000 {method 'sub' of 're.Pattern' objects}
 5165/206    0.024    0.000    0.054    0.000 _compiler.py:37(_compile)
     5666    0.012    0.000    0.051    0.000 __init__.py:829(endData)
     2663    0.011    0.000    0.049    0.000 element.py:1813(__init__)
     1381    0.001    0.000    0.049    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
     1381    0.048    0.000    0.048    0.000 {built-in method nt.stat}
     2661    0.004    0.000    0.048    0.000 __init__.py:1056(handle_endtag)
      302    0.047    0.000    0.047    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.047    0.047 css_parser.py:428(CSSParser)
       16    0.000    0.000    0.045    0.003 css_parser.py:306(__init__)
     7656    0.013    0.000    0.043    0.000 parser.py:92(_replace_attr_charref)
        1    0.000    0.000    0.042    0.042 _fileio.py:1(<module>)
      9/8    0.000    0.000    0.041    0.005 <frozen importlib._bootstrap_external>:1318(create_module)
      9/8    0.019    0.002    0.041    0.005 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.040    0.040 to_thread.py:1(<module>)
        2    0.000    0.000    0.039    0.020 http11.py:1(<module>)
     3270    0.027    0.000    0.039    0.000 <frozen importlib._bootstrap_external>:101(_path_join)
        2    0.000    0.000    0.037    0.018 parser.py:1(<module>)
    29924    0.035    0.000    0.035    0.000 {method 'match' of 're.Pattern' objects}
      302    0.034    0.000    0.034    0.000 {method 'read' of '_io.BufferedReader' objects}
     2662    0.024    0.000    0.032    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
       21    0.000    0.000    0.031    0.001 element.py:3024(find_all)
       21    0.000    0.000    0.031    0.001 element.py:1266(_find_all)
        1    0.000    0.000    0.030    0.030 _connection.py:1(<module>)
       21    0.000    0.000    0.029    0.001 filter.py:163(find_all)
      130    0.005    0.000    0.029    0.000 filter.py:130(filter)
6710/6675    0.006    0.000    0.028    0.000 typing.py:426(inner)
        1    0.000    0.000    0.027    0.027 _content.py:1(<module>)
        1    0.000    0.000    0.025    0.025 feedparser.py:1(<module>)
        1    0.000    0.000    0.024    0.024 _multipart.py:1(<module>)
        1    0.000    0.000    0.024    0.024 css_parser.py:326(__init__)
     7656    0.004    0.000    0.023    0.000 __init__.py:122(unescape)
        1    0.000    0.000    0.021    0.021 _policybase.py:1(<module>)
       16    0.000    0.000    0.021    0.001 css_parser.py:1149(process_selectors)
    56/16    0.001    0.000    0.021    0.001 css_parser.py:925(parse_selectors)
        2    0.000    0.000    0.020    0.010 readers.py:1(<module>)
        1    0.000    0.000    0.020    0.020 tempfile.py:1(<module>)
        1    0.000    0.000    0.020    0.020 _urls.py:1(<module>)
     5852    0.004    0.000    0.020    0.000 filter.py:726(match)
    88083    0.020    0.000    0.020    0.000 {method 'append' of 'list' objects}
76136/69912    0.017    0.000    0.018    0.000 {built-in method builtins.len}
       26    0.000    0.000    0.018    0.001 dataclasses.py:1294(wrap)
       26    0.001    0.000    0.018    0.001 dataclasses.py:929(_process_class)
        2    0.000    0.000    0.018    0.009 _sockets.py:1(<module>)
      604    0.003    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
      357    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap>:416(__enter__)
    26556    0.011    0.000    0.016    0.000 _parser.py:167(__getitem__)
     2775    0.006    0.000    0.016    0.000 __init__.py:870(object_was_parsed)
      332    0.002    0.000    0.016    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
    44/32    0.000    0.000    0.016    0.000 css_parser.py:579(parse_pseudo_class)
     2661    0.008    0.000    0.016    0.000 __init__.py:953(_popToTag)
    40/31    0.000    0.000    0.015    0.000 css_parser.py:746(parse_pseudo_open)
        1    0.000    0.000    0.015    0.015 core.py:21(where)
        1    0.000    0.000    0.014    0.014 _common.py:33(wrapper)
        1    0.000    0.000    0.014    0.014 _common.py:51(files)
        1    0.000    0.000    0.014    0.014 _common.py:107(from_package)
     2927    0.004    0.000    0.014    0.000 filter.py:540(matches_tag)
      369    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
      397    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
        1    0.000    0.000    0.014    0.014 socket.py:960(getaddrinfo)
        1    0.008    0.008    0.014    0.014 {built-in method _socket.getaddrinfo}
     2775    0.008    0.000    0.014    0.000 element.py:1478(__new__)
60179/60157    0.013    0.000    0.013    0.000 {built-in method builtins.isinstance}
    28291    0.013    0.000    0.013    0.000 {method 'group' of 're.Match' objects}
        1    0.000    0.000    0.013    0.013 shutil.py:1(<module>)
  303/297    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:674(_check_name_wrapper)
     2662    0.003    0.000    0.013    0.000 parser.py:437(check_for_whole_start_tag)
        1    0.000    0.000    0.013    0.013 _events.py:1(<module>)
        1    0.000    0.000    0.013    0.013 cookiejar.py:1(<module>)
 5125/404    0.010    0.000    0.013    0.000 _parser.py:177(getwidth)
3683/3582    0.008    0.000    0.013    0.000 {built-in method __new__ of type object at 0x00007FFF6C2F98A0}
      720    0.008    0.000    0.013    0.000 _compiler.py:241(_optimize_charset)
      206    0.001    0.000    0.013    0.000 _compiler.py:514(_compile_info)
        1    0.000    0.000    0.013    0.013 _htmlparser.py:1(<module>)
        1    0.000    0.000    0.013    0.013 css_match.py:1(<module>)
        1    0.000    0.000    0.012    0.012 _adapters.py:28(get_resource_reader)
        1    0.000    0.000    0.012    0.012 _adapters.py:149(_native)
        1    0.000    0.000    0.012    0.012 _adapters.py:144(_reader)
        1    0.000    0.000    0.012    0.012 <frozen importlib._bootstrap_external>:1223(get_resource_reader)
      396    0.004    0.000    0.012    0.000 <frozen importlib._bootstrap>:304(acquire)
      613    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap>:632(cached)
        1    0.000    0.000    0.012    0.012 _typing.py:1(<module>)
7231/7230    0.003    0.000    0.012    0.000 {built-in method builtins.next}
      311    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:642(_get_cached)
       26    0.000    0.000    0.011    0.000 dataclasses.py:470(add_fns_to_class)
        2    0.000    0.000    0.011    0.006 core.py:1(<module>)
    10241    0.007    0.000    0.011    0.000 _markupbase.py:44(updatepos)
      192    0.000    0.000    0.011    0.000 _parser.py:97(closegroup)
      275    0.002    0.000    0.011    0.000 typing.py:1423(__init__)
        2    0.000    0.000    0.011    0.005 _streams.py:1(<module>)
    13780    0.006    0.000    0.011    0.000 _parser.py:260(get)
        2    0.000    0.000    0.011    0.005 utils.py:1(<module>)
      316    0.001    0.000    0.010    0.000 _connection.py:438(next_event)
  135/100    0.000    0.000    0.010    0.000 typing.py:574(__getitem__)
        1    0.000    0.000    0.010    0.010 _readers.py:1(<module>)
        1    0.000    0.000    0.010    0.010 _ssl.py:1(<module>)
        1    0.000    0.000    0.010    0.010 header.py:1(<module>)
     8213    0.010    0.000    0.010    0.000 element.py:382(setup)
        1    0.000    0.000    0.010    0.010 hashlib.py:1(<module>)
