('Total Revenue', '318,273,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         1139846 function calls (1105635 primitive calls) in 3.588 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10958    0.005    0.000    0.075    0.000 parser.py:104(_unescape_attrvalue)
      587    0.007    0.000    0.074    0.000 <frozen importlib._bootstrap_external>:1624(find_spec)
        1    0.000    0.000    0.072    0.072 connectionpool.py:1(<module>)
      202    0.000    0.000    0.071    0.000 _compiler.py:576(_code)
        1    0.005    0.005    0.071    0.071 dammit.py:128(_populate_class_variables)
20390/11306    0.029    0.000    0.070    0.000 {method 'sub' of 're.Pattern' objects}
     4602    0.018    0.000    0.066    0.000 element.py:1813(__init__)
        1    0.000    0.000    0.065    0.065 _request_methods.py:1(<module>)
        1    0.065    0.065    0.065    0.065 {method 'connect' of '_socket.socket' objects}
 5576/202    0.024    0.000    0.057    0.000 _compiler.py:37(_compile)
    49574    0.057    0.000    0.057    0.000 {method 'match' of 're.Pattern' objects}
        3    0.000    0.000    0.057    0.019 response.py:1(<module>)
        2    0.000    0.000    0.056    0.028 connection.py:1(<module>)
  288/276    0.001    0.000    0.054    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
        1    0.000    0.000    0.053    0.053 _base_connection.py:1(<module>)
     9084    0.014    0.000    0.053    0.000 parser.py:92(_replace_attr_charref)
        1    0.000    0.000    0.051    0.051 client.py:1(<module>)
        1    0.000    0.000    0.046    0.046 css_parser.py:428(CSSParser)
       16    0.000    0.000    0.044    0.003 css_parser.py:306(__init__)
     10/9    0.000    0.000    0.040    0.004 <frozen importlib._bootstrap_external>:1318(create_module)
     10/9    0.018    0.002    0.040    0.004 {built-in method _imp.create_dynamic}
      258    0.002    0.000    0.039    0.000 <frozen importlib._bootstrap_external>:782(_compile_bytecode)
     4601    0.025    0.000    0.038    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
     1199    0.001    0.000    0.038    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
     1199    0.037    0.000    0.037    0.000 {built-in method nt.stat}
      258    0.036    0.000    0.036    0.000 {built-in method marshal.loads}
        2    0.000    0.000    0.036    0.018 parser.py:1(<module>)
       21    0.000    0.000    0.036    0.002 element.py:3024(find_all)
       21    0.000    0.000    0.036    0.002 element.py:1266(_find_all)
       21    0.000    0.000    0.035    0.002 filter.py:163(find_all)
      130    0.007    0.000    0.035    0.000 filter.py:130(filter)
        3    0.000    0.000    0.033    0.011 utils.py:1(<module>)
     9084    0.005    0.000    0.033    0.000 __init__.py:122(unescape)
        1    0.000    0.000    0.033    0.033 ssl_.py:1(<module>)
     2925    0.022    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:101(_path_join)
        1    0.000    0.000    0.028    0.028 compat.py:1(<module>)
     4763    0.011    0.000    0.028    0.000 __init__.py:870(object_was_parsed)
        1    0.000    0.000    0.026    0.026 feedparser.py:1(<module>)
     4600    0.013    0.000    0.026    0.000 __init__.py:953(_popToTag)
        1    0.000    0.000    0.024    0.024 _policybase.py:1(<module>)
     4763    0.013    0.000    0.024    0.000 element.py:1478(__new__)
        1    0.000    0.000    0.023    0.023 url.py:1(<module>)
        1    0.000    0.000    0.023    0.023 css_parser.py:326(__init__)
   104495    0.022    0.000    0.022    0.000 {method 'append' of 'list' objects}
     4601    0.006    0.000    0.021    0.000 parser.py:437(check_for_whole_start_tag)
     9779    0.005    0.000    0.021    0.000 filter.py:726(match)
       16    0.000    0.000    0.021    0.001 css_parser.py:1149(process_selectors)
    56/16    0.001    0.000    0.021    0.001 css_parser.py:925(parse_selectors)
        1    0.000    0.000    0.021    0.021 cookiejar.py:1(<module>)
85202/78832    0.017    0.000    0.019    0.000 {built-in method builtins.len}
    18025    0.011    0.000    0.018    0.000 _markupbase.py:44(updatepos)
    38997    0.018    0.000    0.018    0.000 {method 'group' of 're.Match' objects}
    14128    0.018    0.000    0.018    0.000 element.py:382(setup)
10354/10330    0.009    0.000    0.018    0.000 typing.py:426(inner)
        1    0.000    0.000    0.017    0.017 sessions.py:1(<module>)
    29897    0.011    0.000    0.017    0.000 _parser.py:167(__getitem__)
